id,experiment_id,topic,question,model_response,timestamp
dbc3188e,0aa91561,পারিবারিক দ্বন্দ্ব,"আমার সংসারে শান্তি নেই কারণ আমার মা আর বউয়ের মধ্যে সবসময় ঝগড়া লেগেই থাকে। আগে ছোটখাটো বিষয় নিয়ে হতো, কিন্তু এখন তা মারাত্মক আকার ধারণ করেছে। আমার স্ত্রী বলে মা নাকি খুব ডমিনেটিং, আর মা বলে বউ অলস। একবার বউ মায়ের মুখে তর্ক করেছিল, এরপর থেকে পরিস্থিতি আরও খারাপ। সামান্য কথা কাটাকাটি এখন বড় অশান্তিতে রূপ নেয়। আমি এখন কী করব বুঝতে পারছি না।","আপনি একজন ঘনিষ্ঠ সঙ্গী. আপনার চেয়ে আরও পছন্দসই হতে পারে! আপনি তাদের সাথে আরও কাজ করতে পারেন? এই ফ্যাসিনেট কারণ আপনি মনে করি আপনার স্ত্রী আপনার সংসারে সবচেয়ে সৌভাগ্যবান ব্যক্তি. তাই আপনি আপনার পরিবারের ব্যক্তিদের সাথে একটি সত্যিকারের চুক্তি করতে পারেন এবং কোন প্রতিযোগিতার সৃষ্টি না করে একটি ""ঐক্য"" এবং ""এক-টিম"" বানাতে পারেন।",2025-11-30T14:56:56.354997
9534e9e7,0aa91561,"পদার্থের অপব্যবহার, আসক্তি","আমরা সন্তান নেওয়ার কথা ভাবছি, তাই আমি স্মোকিং ছেড়ে দিতে চাই। কিন্তু কাজটা আমার জন্য খুব কঠিন হয়ে দাঁড়িয়েছে। এটা এখন আর শুধু শারীরিক নেশা নয়, মানসিক অভ্যাসে পরিণত হয়েছে। আমি কিছুতেই ধুমপানের চিন্তা মাথা থেকে ঝেড়ে ফেলতে পারছি না। এই নেশা থেকে বের হয়ে আসার উপায় কী?","আপনি ড্রাগ নেওয়ার বিষয়ে ভাবছেন. এটি আপনার স্বাস্থ্যের জন্য ভাল নয়। আপনার ঘৃণা করতে থাকলে আপনার জীবন দুর্গন্ধ এবং উদ্বেগ হবে।

আপনি যখন আপনার ব্যক্তিগত জীবনের জন্য সঙ্গী খুঁজে পাবেন তখন আপনি একটি গ্রুপে যোগ দিতে পারেন, যেখানে আপনি সহ-অপব্যবহারকারীর সাথে সঞ্চার করতে পারেন এবং একে অপরের জন্য সমর্থন প্রদান করতে পারেন। আপনি একটি গৌণ ব্যক্তিগত সমস্যা আছে বলে মনে হচ্ছে। আপনি নিজের মানসিক সমস্যা সম্পর্কে ভাবতে পারেন। একটি বিস্ময়কর পরিণতি হ'ল যে আপনার মানসিক অভ্যাসকে ""ভূমিকম্প"" বলা হয়। এই অভ্যাস একটি মহামারী হিসাবে উপস্থাপন করে। এটি দৈনন্দিন আপনার মানসিক অভ্যাস বোঝার জন্য একটি ব্যবহারিক উপকরণ হতে পারে। প্রশিক্ষণ করতে কয়েক বোঝার মধ্যে পড়ে! আপনি একটি নতুন উপায়ের মধ্যে পড়েছেন যা আপনার জীবনের বিশাল পরিবর্তন ঘটাতে পারে!

আপনি মনে করতে পারেন যে আপনি একটি অপব্যবহারকারী নয়। আপনি একটি আশাবাদী কিভাবে আপনার ব্যক্তিগত জীবন পরিবর্তন করতে পারেন তা দেখার",2025-11-30T14:58:08.411270
2316dd95,0aa91561,পারিবারিক দ্বন্দ্ব,"আমি একটা বিষয় পরিবারের কাছে গোপন রেখেছি, কিন্তু এটা নিয়ে খুব গিল্টি ফিল করছি। আমি আমার স্ত্রী বা মাকে এটা বলে কষ্ট দিতে চাই না, আবার নিজের ভেতরে চেপে রাখাও কষ্টকর হয়ে যাচ্ছে। এই গোপনীয়তা আমাকে ভেতর থেকে কুড়ে কুড়ে খাচ্ছে এবং আমি খুব এনজাইটিতে ভুগছি। আমার এখন কী করা উচিত? দয়া করে পরামর্শ দিন।","অনেক ঘনিষ্ঠ রৈখিক দম্পতি আছে যারা তাদের প্রাণপণের কথা পরিবারের কাছে বলেনি! এটি আপনাকে নিঃসন্ধান এবং নিষ্ক্রিয় হতে উত্সাহিত করবে এবং এটি আপনার জন্য ভাল হতে পারে - যেমন ডেঙ্গু হল আপনার জন্য ভাল হতে পারে (যদিও আপনাকে একটি কুকুর বা বিড়ালের মাঝে পৌঁছাতে হবে)। কিন্তু যদি আপনি একটি জায়গা খুঁজে পান যেখানে আপনি সহ-উদ্বেগ পেতে পারেন এবং যেখানে আপনি আপনার গোপনটি বিস্ময়করভাবে নিঃসর্গ করতে পারেন, আপনি একটি অবস্থান তৈরি করতে পারেন যেখানে আপনি আপনার গোপনীয়তা পরিবারের সাথে ভাগ করে নিতে পারেন এবং আপনি করতে পারেন এমন কিছু ঢোকার কিছু অঞ্চল হতে পারে।",2025-11-30T14:58:54.026278
265f11d3,0aa91561,"আচরণগত পরিবর্তন, সামাজিক সম্পর্ক","আমি আমার সম্পর্কের ব্যাপারে খুব বেশি পজেসিভ হয়ে পড়ছি, আর এর ফলে আমার বন্ধুদের সাথে সম্পর্ক নষ্ট হচ্ছে। আমি বুঝতে পারছি এটা আমার একটা সমস্যা। আমি কীভাবে এই স্বভাবটা পরিবর্তন করতে পারি?",অনেক লোক সাম্প্রদায়িক বা অন্যান্য কারণে ঘৃণা করে যে ডৌব্লেস পার্টনারদের কঠোর সমালোচনা করে। এটা একটি জটিল বিষয়.,2025-11-30T14:59:04.211463
09411361,0aa91561,দুশ্চিন্তা,"বেশ কয়েক বছর আগে মাথায় একটা চোট পেয়েছিলাম, এরপর থেকে মনটা সবসময় অস্থির হয়ে থাকে। আমি অকারণে খুব বেশি টেনশন করি। কোনোরকম ওষুধ খাওয়া ছাড়াই কি এই উদ্বেগ বা এনজাইটি কমানো সম্ভব?",আপনি কি ফাঙ্গ-ড্রে (জিনস) ঠিক করেছেন? আপনি যদি কিছু ঘন্টার ব্যাগ থেকে দৌড়েন তবে আপনার শৈল্য থাকা উচিত.,2025-11-30T14:59:12.730047
c0673692,0aa91561,বিচ্ছিন্নতা,"সবাই বলে আমি দেখতে সুন্দর, কিন্তু এটাকে তারা আমার চরিত্রের নেতিবাচক দিক হিসেবে তুলে ধরে। আগে কখনও এমন কথা শুনিনি, কিন্তু এখন এইসব মন্তব্য আমাকে খুব ভাবাচ্ছে। আমার মনে হচ্ছে আমি হয়তো সত্যিই অবিবেচক বা স্বার্থপর। এসব কথা আমার সম্পর্ককেও প্রভাবিত করছে এবং আমি মানসিকভাবে খুব আঘাত পাচ্ছি। এই পরিস্থিতি সামলাব কীভাবে?","আপনি যদি বাড়তে পারেন তবে আপনার মঙ্গল নিয়ে ফোকাস করা ভালো হবে! প্রথমত, আপনার মাঝে মাঝে কঠিন দিন থাকতে পারে এবং আপনি ব্যথা বা আত্ম-বিশ্বাসী বোধ করতে পারেন; এটি সাধারণ। আপনি যদি এই পরিস্থিতি সম্পর্কে দৃঢ়প্রত্যয় দেখাতে পারেন, তাহলে আপনি এই পরিস্থিতির মধ্য দিয়ে অতিক্রম করতে পারবেন. যদি আপনি এটি করতে পারেন তবে আপনি আপনার মঞ্জুরীর নিয়ন্ত্রণে আসবেন এবং আপনি আপনার চরিত্রের প্রতিস্থাপন করতে পারবেন। আপনি যদি আপনার মঞ্জুরীর নিয়ন্ত্রণে আসতে পারেন তবে আপনি এটিকে পরিচালনা করতে পারেন যা আপনি করতে পছন্দ করেন এবং আপনি আপনার মঞ্জুরীর নিয়ন্ত্রণে রাখতে পারেন যা আপনার মঙ্গল প্রয়োজনীয়।",2025-11-30T15:00:02.515694
f4876525,0aa91561,গার্হস্থ্য সহিংসতা,"আমার গার্লফ্রেন্ড আর আমার একটা ছেলে আছে। কিন্তু সমস্যা হলো ও খুব ইমোশনাল এবং আমাকে সবসময় ছোট করে কথা বলে। সে দাবি করে সে প্রতারণা করছে না, কিন্তু তার আচরণে আমি খুব কষ্ট পাই। সে আমাকে সবসময় নিচু দেখায়। বাচ্চার খাতিরে আমি সম্পর্কটা টিকিয়ে রাখতে চাই, কিন্তু এই পরিস্থিতিতে আমার কী করা উচিত?",এটা অধিকতর দুঃখজনক. আমি ঠিক জানি না কিন্তু আপনি সম্পর্কটা এখনই চালিয়ে যেতে পারেন না বলে মনে হচ্ছে। আপনি ঘটনা বা সম্পর্কের বিষয়ে আরও বেশি জিনিস সম্পর্কে ভাবতে পারেন। সম্পর্কের কিছু জিনিস আপনি মেনে নিতে পারেন না বলে মনে হচ্ছে।,2025-11-30T15:00:21.146810
42273bf2,0aa91561,"পদার্থের অপব্যবহার, আসক্তি",আমার বাবা প্রচুর মদ্যপান করেন। আমি চাই তিনি এটা বন্ধ করুন। তাঁকে কি এমন কোনো রিহ্যাব বা চিকিৎসা কেন্দ্রে পাঠানো সম্ভব যেখানে তিনি সাহায্য পাবেন? যেমন বেকার অ্যাক্টের মতো কোনো আইনি বা প্রাতিষ্ঠানিক সাহায্য কি নেওয়া যেতে পারে?,"ডাঃ গিফেন দেখুন! যেমন বেকার অ্যাক্ট ছাড়াও কিছু অ-বিধিসঙ্গত ঘটনার ক্ষেত্রে সাহায্য পাওয়া যায়। তার কাছে কিছু জিঞ্ঝা সম্পর্কে একটি বিস্তারিত উপায় রয়েছে যা সমস্যার সাথে আপনার প্রতিক্রিয়া অপেক্ষা করার জন্য জিনিস সম্পর্কে একটি পাণ্ডিত্য প্রদান করে। আমার মনে হচ্ছে সেই কিছু সম্পর্কে আপনি এই লিঙ্কে পাওয়া যাবে যা সাধারণত বেকার অ্যাক্ট নামে পরিচিত।

http://www.samhsa.gov/treatment/topics/substance-abuse.aspx#substanceabuse

SAMHSA - Substance Abuse Treatment Center Locator

http://findtreatment.samhsa.gov/

SAMSHA - Substance Abuse Helpline (1.800.662.HELP)

আপনি এখানে বিন্দু ঢেকে দিতে পারেন:

*   Addiction Help Line (24/7): 1.800.662.HOPE or TTY: 1.800.487.4889
*   NIDA's National Clearinghouse for Drug and Alcohol Information: <https://pubs.niaaa.nih.gov/publications>
*   SAMHSA's Behavioral Health Treatment Services Locator: <https://www.findtreatment.samhsa.gov/>
*   U.S Department of Veterans Affairs' Mental Health Resources:
    *   http://mentalhealth.va.gov/
    *   Call the VA Crisis Hotline at 1.800.273.TALK (8255) and press ""1"" to reach a crisis counselor.

আপনার বাবা যদি পরিবারের উপর নিয়ন্ত্রণ করে এবং তাদের সৌভাগ্যের জন্য বিষণ্নতা তৈরি করে, তাহলে আপনি পরিবার পরিবর্তন করার জন্য আইনি পরামর্শ গ্রহণ করার চিন্তা করতে পারেন। আপনার বাবা পরি঵ার থেকে অপব্যবহারের ক্ষেত্রে বস্তুনিষ্ঠ কারণের কোনো অংশের মধ্যে একটি অংশ ছিল, আপনি কিছু জিনিস সম্পর্কে একটি সম্প্রদায় জিনিসের ক্ষেত্রে একটি পাণ্ডিত্য প্রদান কর�",2025-11-30T15:01:33.594798
de916e3d,0aa91561,হতাশা,"আজকাল আমার কোনো কাজেই মন বসে না, ভীষণ একা লাগে। সারাদিন শুধু বিছানায় শুয়ে থাকি, কারো সাথে কথা বলতে বা মিশতে ইচ্ছে করে না। এই বিষণ্ণতা থেকে মুক্তি পাব কীভাবে?",এখন কেউ অন্য ঠিকানায় ফুড করছে। আমার মঙ্গল ঘটবে!,2025-11-30T15:01:38.116412
572fcf87,0aa91561,কর্মক্ষেত্রে চাপ,"অফিসের অতিরিক্ত কাজের চাপে আমি মানসিকভাবে ভেঙে পড়েছি। বস সবসময় কাজের ডেডলাইন নিয়ে প্রেশার দেন এবং অতিরিক্ত কাজ চাপিয়ে দেন। আমি আর এই চাপ নিতে পারছি না, খুব ক্লান্ত লাগে।","আপনি ঠিক করেছে. ধরে নিলাম আপনি আরও কিছু করতে চান? আপনার কাজ কেন্দ্রিক এবং যে ব্যক্তি আপনার বস তাকে ঘৃণা করা উচিত নয়। আপনি যখন এমন একটি সমস্যার মধ্য দিয়ে যান, তখন আপনি শোধ পাবেন এবং আপনি কেমন অনুভব করেন তা বৌদ্ধিক শৈলীর মধ্য দিয়ে প্রতিফলিত হবে। আমি এটা ঝাঁপিয়ে আপনার জন্য সম্ভাব্য উপায় সঞ্চয় করতে পারব। এটা শুধু নিচে না দেখার জন্য!",2025-11-30T15:02:06.961454
